name,link,uses,inconvinients
Adderall XR,https://www.drugs.com/mtm/adderall-xr.html,"['Adderall XR are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.', 'Adderall XR is a combination medicine used to treat attention deficit hyperactivity disorder (ADHD).', 'Adderall XR may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Adderall XR may cause serious side effects. Call your doctor at once if you have:', 'Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea.', 'Long-term use of stimulant medicine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using  Adderall XR.', 'Common side effects of Adderall XR may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Advair Diskus,https://www.drugs.com/mtm/advair-diskus.html,"['Advair Diskus inhalation is a steroid and bronchodilator combination medicine that is used to prevent asthma attacks. It is also used to prevent flare-ups or worsening of chronic obstructive pulmonary disease (COPD) associated with chronic bronchitis and/or emphysema.', 'In people with COPD, Advair Diskus is for long-term treatment. In people with asthma,  Advair Diskus is for short-term treatment until symptoms are well controlled with with other medicines.', 'Advair Diskus is for use in adults and children who are at least 4 years old. Advair HFA and AirDuo Respiclick are for use in adults and children who are at least 12 years old.', 'Advair Diskus may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.', 'Advair Diskus may cause serious side effects. Call your doctor at once if you have:', 'Fluticasone can affect growth in children. Talk with your doctor if you think your child is not growing at a normal rate while using this medication.', 'Common side effects of Advair Diskus may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Advil,https://www.drugs.com/advil.html,"['Advil is a nonsteroidal anti-inflammatory drug (NSAID). Ibuprofen works by reducing hormones that cause inflammation and pain in the body.', 'Advil is used to reduce fever and treat pain or inflammation caused by many conditions such as headache, toothache, back pain, arthritis, menstrual cramps, or minor injury.', 'Advil is used in adults and children who are at least 2 years old. For children under 2 years check with a doctor.']","['Get emergency medical help if you have signs of an allergic reaction to Advil (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling).', 'Get emergency medical help if you have signs of a heart attack or stroke: chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath.', 'Stop using Advil and call your doctor at once if you have:', 'Common Advil side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Afinitor,https://www.drugs.com/afinitor.html,"['Afinitor is a cancer medicine that interferes with the growth of cancer cells and slows their spread in the body.', 'Afinitor is used to treat certain types of kidney cancer, breast cancer, or brain tumor. It is also used to treat certain types of advanced or progressive tumors of the stomach, intestines, or pancreas.', 'Afinitor is also used to treat certain types of seizures or non-cancerous (benign) tumors of the brain or kidney in people with a genetic condition called tuberous sclerosis complex.', 'This medication guide provides information about the Afinitor brand of everolimus. Zortress is another brand of everolimus used to prevent organ rejection after a kidney transplant.']","['Get emergency medical help if you have signs of an allergic reaction to Afinitor: hives; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. You may be more likely to have some of these symptoms if you also take an ""ACE inhibitor"" heart or blood pressure medication.', 'Call your doctor at once if you have:', 'Your cancer treatments may be delayed or permanently discontinued if you have certain side effects.', 'Common Afinitor side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Agamree,https://www.drugs.com/agamree.html,"['Agamree (vamorolone) is a novel corticosteroid used to treat Duchenne muscular dystrophy (DMD) to help improve motor function. Agamree works to reduce inflammation by blocking the production of proteins (cytokines) that cause inflammation. As well as improving motor function Agamree also has potentially less side effects on bone health, growth rate, and behavior.\xa0 Agamree is an oral suspension that is given once a day.\xa0', 'Agamree’s active ingredient, vamorolone, has anti-inflammatory and immunosuppressive effects that works (mechanism of action) through the glucocorticoid receptor, although the exact way it works for DMD is unknown.\xa0', 'Agamree received FDA approval on October 26, 2023, for the treatment of Duchenne muscular dystrophy (DMD) in patients 2 years of age and older.\xa0 Approval was based on results from Study 1 (NCT03439670), which showed Agamree was a safe and effective treatment for boys with DMD.\xa0']","['The most common Agamree side effects are cushingoid features, psychiatric disorders, vomiting, weight gain, and vitamin D deficiency, these side effects affected more than 10% of patients and more than the placebo group.', 'Serious Agamree side effects include:\xa0']"
Aimovig,https://www.drugs.com/aimovig.html,"['Aimovig (full biological name erenumab-aooe) is a once-monthly, injectable medication that can be self-administered subcutaneously (under the skin) for the prevention of migraine in adults.', 'Aimovig works by blocking the effect of calcitonin gene-related peptide (CGRP) which is a small protein that is highly prevalent in the sensory nerves that supply the head and the neck. CGRP is involved in pain transmission and levels increase during a migraine attack. It may also play a causative role in the formation of migraine attacks. CGRP inhibitors are used to manage migraines and there are two types of CGRP inhibitors – monoclonal antibodies and CGRP receptor antagonists (gepants). Aimovig is a monoclonal antibody.', 'Aimovig was first FDA-approved on May 17, 2018. There is no Aimovig generic.']","['Aimovig may cause serious side effects, including:', 'The most common side effects of Aimovig affecting 3% or more patients include:', 'High blood pressure or constipation are possible long-term side effects of Aimovig.', 'Tell your healthcare provider if you have any side effect that bothers you or does not go away. These are not all of the possible side effects of Aimovig. Ask your pharmacist or healthcare provider for more information. Call your healthcare provider for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. You may also report side effects to Amgen at 1-800-77-AMGEN (1-800-772-6436).']"
Ajovy,https://www.drugs.com/ajovy.html,"['Ajovy is an injectable prescription medicine used to prevent migraine headaches in adults.', 'Ajovy works by blocking the activity of calcitonin gene-related peptide (CGRP).', 'Ajovy may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have signs of an allergic reaction to Ajovy: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'An allergic reaction to fremanezumab-vfrm can occur up to 1 month after an injection.', 'Common Ajovy side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Albuterol,https://www.drugs.com/albuterol.html,"['Albuterol is a bronchodilator that relaxes muscles in the airways and increases air flow to the lungs.', 'Albuterol inhalation is used to treat or prevent bronchospasm, or narrowing of the airways in the lungs, in people with asthma or certain types of chronic obstructive pulmonary disease (COPD). It is also used to prevent exercise-induced bronchospasm.', ""Albuterol inhalation is for use in adults and children who are at least 4 years old. Always follow your doctor's directions when giving albuterol to a child.""]","['Get emergency medical help if you have signs of an allergic reaction to albuterol: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Call your doctor at once if you have:', 'Common albuterol side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Aldactone,https://www.drugs.com/aldactone.html,"['Aldactone is a potassium-sparing diuretic (water pill) that prevents your body from absorbing too much salt and keeps your potassium levels from getting too low.', 'Aldactone is used to treat heart failure, high blood pressure (hypertension), or hypokalemia (low potassium levels in the blood).', 'Aldactone also treats fluid retention (edema) in people with congestive heart failure, cirrhosis of the liver, or a kidney disorder called nephrotic syndrome.', 'Aldactone is also used to diagnose or treat a condition in which you have too much aldosterone in your body. Aldosterone is a hormone produced by your adrenal glands to help regulate the salt and water balance in your body.']","['Get emergency medical help if you have signs of an allergic reaction to Aldactone: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.', 'Call your doctor at once if you have:', 'Common Aldactone side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Alecensa,https://www.drugs.com/alecensa.html,"['Alecensa (alectinib) is an oral kinase inhibitor that may be used to treat certain types of non-small cell lung cancer\xa0(NSCLC) in adults that have been caused by an abnormal anaplastic lymphoma kinase (ALK) gene, specifically:', 'Alecensa is used only if your cancer has a specific genetic marker (an abnormal ""ALK"" gene). Your doctor will test you for this gene.', 'Alecensa works by targeting ALK and RET -- these are 2 tyrosine kinases present in 5% to 7% of people with NSCLC. By preventing the activity of these kinases, Alecensa reduces the viability of cancer cells.', 'Alecensa was FDA approved on December 11, 2015.\xa0']","['Get emergency medical help if you have signs of an allergic reaction to Alecensa: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Call your doctor at once if you have:', 'Your cancer treatments may be delayed or permanently discontinued if you have certain side effects.', 'Common Alecensa side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Alendronate,https://www.drugs.com/mtm/alendronate.html,"['Alendronate is used to treat osteoporosis caused by menopause, steroid use, or gonadal failure.  alendronate is for use when you have a high risk of bone fracture due to osteoporosis.', ""Alendronate is also used to treat Paget's disease of bone."", 'Alendronate may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have signs of an allergic reaction: hives; wheezing, difficulty breathing; swelling of your face, lips, tongue, or throat.', 'Alendronate may cause serious side effects. Stop using alendronate and call your doctor at once if you have:', 'Common side effects of alendronate may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Aleve,https://www.drugs.com/aleve.html,"['Aleve is a nonsteroidal anti-inflammatory drug (NSAID). Naproxen works by reducing hormones that cause inflammation and pain in the body.', 'Aleve is used to temporarily relieve minor aches and pains due to arthritis, muscular aches, backache, menstrual cramps, headache, toothache,and the common cold. Aleve is also used to temporarily reduce fever.', 'Aleve may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have signs of an allergic reaction to Aleve (runny or stuffy nose, wheezing or trouble breathing, hives, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling).', 'Stop using Aleve and seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes.', 'Get emergency medical help if you have signs of a heart attack or stroke: chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath.', 'Stop using Aleve and call your doctor at once if you have:', 'Common Aleve side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Alfuzosin,https://www.drugs.com/mtm/alfuzosin.html,"['Alfuzosin is an alpha-adrenergic (AL-fa ad-ren-ER-Jk) blocker that is used to improve urination in men with benign prostatic hyperplasia (enlarged prostate).', 'Alfuzosin may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Alfuzosin may cause serious side effects. Call your doctor at once if you have:', 'Common side effects of alfuzosin may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Allegra,https://www.drugs.com/allegra.html,"['Allegra is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.', 'Allegra is used to treat the symptoms of seasonal allergies (hay fever) in adults and children.', 'Allegra is also used to treat skin itching and hives caused by a condition called chronic idiopathic urticaria in adults and children.', 'Allegra may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have any of these signs of an allergic reaction to Allegra: hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop taking Allegra and call your doctor if you have fever, chills, body aches, cough, or other flu symptoms.', 'Less serious Allegra side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Allopurinol,https://www.drugs.com/allopurinol.html,"['Allopurinol belongs to a class of medications called xanthine oxidase inhibitors. It works by reducing the production of uric acid in the body. High levels of uric acid may cause gout attacks or kidney stones.', 'Allopurinol is used to treat gout (a type of arthritis in which uric acid, a naturally occurring substance in the body, builds up in the joints and causes sudden attacks of redness, swelling, pain, and heat in one or more joints). Allopurinol is used to prevent gout attacks, not to treat them once they occur. Allopurinol does not need to be stopped during an acute flare.', 'Allopurinol is also used to treat high levels of uric acid that builds up in the blood as tumors break down in people with certain types of cancer who are being treated with chemotherapy medications. It is also used to treat kidney stones that have come back in people who have high levels of uric acid in their urine.']","['Get emergency medical help if you have signs of an allergic reaction to allopurinol (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling).', 'Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes.', 'Allopurinol may cause serious side effects. Stop using this medicine and call your doctor at once if you have:', 'Common allopurinol side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Alprazolam,https://www.drugs.com/alprazolam.html,"['Alprazolam is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It is thought that it works by enhancing the activity of certain neurotransmitters in the brain.', 'Alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression.', 'It is dangerous to purchase alprazolam on the Internet or outside the United States. The sale and distribution of medicines outside the U.S. does not comply with safe-use regulations of the Food and Drug Administration (FDA). These medications may contain dangerous ingredients, or may not be distributed by a licensed pharmacy.']","['Get emergency medical help if you have signs of an allergic reaction to alprazolam: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Alprazolam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up.', 'Call your doctor at once if you have:', 'Drowsiness or dizziness may last longer in older adults. Use caution to avoid falling or accidental injury.', 'Common alprazolam side effects may include:', 'After you stop using alprazolam, get medical help right away if you have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, suicidal thoughts or actions.', 'Some withdrawal symptoms may last up to 12 months or longer after stopping this medicine suddenly. Tell your doctor if you have ongoing anxiety, depression, problems with memory or thinking, trouble sleeping, ringing in your ears, a burning or prickly feeling, or a crawling sensation under your skin.', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Alprolix,https://www.drugs.com/alprolix.html,"['Alprolix is used to help control and prevent bleeding in people with hemophilia B (congenital Factor IX deficiency). Alprolix is a coagulation Factor IX concentrate that replaces the missing or low levels of Factor IX; this helps control bleeding episodes, manage bleeding in surgery, and can be used regularly to prevent bleeding episodes. Coagulation Factor IX is sometimes written as coagulation Factor 9.', 'Alprolix is a recombinant Factor product, which means it is developed in a laboratory and is not human plasma derived from donor-sourced plasma.', 'Hemophilia B is a genetic disorder that causes low levels of a clotting protein called Factor IX, this causes individuals to bleed for a longer time than other people.\xa0 External bleeding can be due to dental procedures, minor cuts, or trauma and can also involve internal bleeding into joints and muscles.', 'Alprolix FDA approval was received on March 28, 2014, for the company Biogen Idec. It is now manufactured for Bioverativ Therapeutics Inc. which is a Sanofi Company.']","['Common Alprolix side effects may include nausea, headache, dizziness, altered sense of taste, mild skin rash, or pain, redness, itching, stinging, or other irritation where the medicine was injected.', 'Get emergency medical help if you have signs of an allergic reaction: hives, itching; wheezing, tightness in your chest, difficult breathing, fast heartbeats, blue lips, feeling like you might pass out; swelling of your face, lips, tongue, or throat.', 'Alprolix may cause other serious side effects. Call your doctor at once if you have:', 'This is not a complete list of side effects, and others may occur. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088.']"
